,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
33,CamNewton,NWE,31,QB,15,15,137,592,55.0,411,3.0,181,1.3,4,34.3,12.0,49.0,4.3,39.5,6.0,NE,64.0,72.0,69.0,0,bye,57,32,65,81,58,69,53.0,58,45.0,55.0,33.0,65.0,876.0,58.4,2.0,35.0
34,JKDobbins,BAL,22,rb,15,1,134,805,38.0,411,3.1,394,2.9,7,19.1,9.0,72.0,6.0,53.7,2.0,BAL,24.0,20.0,24.0,21,18,30,bye,54,36,29,41,0.0,21,37.0,35.0,35.0,32.0,457.0,30.5,18.0,120.0
35,KylerMurray,ARI,23,QB,16,16,133,819,52.0,691,5.2,128,1.0,5,26.6,11.0,48.0,6.2,51.2,9.0,ARI,82.0,77.0,65.0,57,75,62,83,bye,69,73,67,73.0,64,79.0,68.0,82.0,25.0,1101.0,68.8,,
36,JeffWilson,SFO,25,rb,12,3,126,600,31.0,327,2.6,273,2.2,9,14.0,7.0,34.0,4.8,50.0,2.0,SF,0.0,5.0,23.0,6,15,0,37,0,0,0,bye,25.0,28,39.0,39.0,39.0,55.0,311.0,25.9,13.0,133.0
37,GiovaniBernard,CIN,29,rb,16,10,124,416,23.0,189,1.5,227,1.8,8,15.5,3.0,15.0,3.4,26.0,1.0,CIN,20.0,42.0,18.0,13,16,35,58,47,bye,44,37,38.0,35,17.0,38.0,44.0,16.0,518.0,32.4,47.0,355.0
38,JoeMixon,CIN,24,rb,6,6,119,428,20.0,226,1.9,202,1.7,3,39.7,3.0,34.0,3.6,71.3,1.0,CIN,40.0,46.0,52.0,62,51,39,0,0,bye,0,0,0.0,0,0.0,0.0,0.0,0.0,290.0,48.3,21.0,138.0
39,JamaalWilliams,GNB,25,rb,14,3,119,505,29.0,277,2.3,228,1.9,5,23.8,2.0,25.0,4.2,36.1,0.0,GB,30.0,31.0,19.0,36,bye,32,55,63,0,31,30,33.0,21,20.0,4.0,0.0,12.0,417.0,29.8,31.0,236.0
40,PhillipLindsay,DEN,26,rb,11,8,118,502,19.0,316,2.7,186,1.6,5,23.6,1.0,55.0,4.3,45.6,0.0,DEN,19.0,0.0,0.0,0,bye,40,14,29,28,21,27,14.0,26,29.0,23.0,0.0,0.0,270.0,24.5,7.0,28.0
41,AustinEkeler,LAC,25,rb,10,10,116,530,26.0,273,2.4,257,2.2,13,8.9,1.0,27.0,4.6,53.0,1.0,LAC,50.0,47.0,56.0,3,0,bye,0,0,0,0,0,60.0,43,44.0,41.0,37.0,31.0,412.0,41.2,54.0,403.0
42,DAndreSwift,DET,21,rb,13,4,114,521,31.0,331,2.9,190,1.7,9,12.7,8.0,54.0,4.6,40.1,3.0,DET,34.0,20.0,6.0,23,bye,17,28,38,30,43,0,0.0,0,36.0,42.0,36.0,33.0,386.0,29.7,46.0,357.0
43,ZackMoss,BUF,23,,13,0,112,481,30.0,207,1.8,274,2.4,13,8.6,4.0,31.0,4.3,37.0,0.0,BUF,39.0,28.0,0.0,0,0,13,34,31,38,39,bye,37.0,11,44.0,34.0,36.0,18.0,402.0,30.9,14.0,95.0
44,JoshuaKelley,LAC,23,,14,0,111,354,20.0,184,1.7,170,1.5,7,15.9,2.0,33.0,3.2,25.3,2.0,LAC,18.0,43.0,23.0,30,25,bye,38,21,43,17,11,19.0,3,0.0,5.0,0.0,1.0,297.0,21.2,23.0,148.0
45,BennySnell,PIT,22,rb,16,3,111,368,25.0,160,1.4,208,1.9,6,18.5,4.0,30.0,3.3,23.0,2.0,PIT,29.0,10.0,15.0,bye,15,14,6,0,5,4,10,51.0,33,5.0,51.0,22.0,11.0,281.0,17.6,10.0,61.0
46,RaheemMostert,SFO,28,rb,8,8,104,521,22.0,346,3.3,175,1.7,5,20.8,2.0,80.0,5.0,65.1,1.0,SF,37.0,13.0,0.0,0,31,35,0,0,0,0,bye,29.0,27,40.0,25.0,0.0,0.0,237.0,29.6,16.0,156.0
47,JoshAllen,BUF,24,QB,16,16,102,421,38.0,287,2.8,134,1.3,4,25.5,8.0,24.0,4.1,26.3,9.0,BUF,87.0,61.0,62.0,61,65,53,73,58,68,73,bye,61.0,73,75.0,72.0,57.0,35.0,1034.0,64.6,1.0,12.0
48,MalcolmBrown,LAR,27,,16,0,101,419,25.0,271,2.7,148,1.5,7,14.4,5.0,19.0,4.1,26.2,1.0,LAR,44.0,37.0,34.0,35,26,27,0,57,bye,29,27,25.0,13,6.0,16.0,44.0,23.0,443.0,29.5,23.0,162.0
