,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
113,DeAndreWashington,2TM,27,,4,1,31,91,2.0,57,1.8,34,1.1,1,31.0
114,TomBrady,TAM,43,QB,16,16,30,6,6.0,-2,-0.1,8,0.3,1,30.0
115,RyanFitzpatrick,MIA,38,qb,9,7,30,151,12.0,131,4.4,20,0.7,0,
116,JoshAdams,NYJ,24,,8,0,29,157,10.0,54,1.9,103,3.6,4,7.3
117,DionLewis,NYG,30,,16,0,29,115,7.0,67,2.3,48,1.7,1,29.0
118,GardnerMinshew,JAX,24,qb,9,8,29,153,10.0,149,5.1,4,0.1,0,
119,MattRyan,ATL,35,QB,16,16,29,92,8.0,83,2.9,9,0.3,0,
120,MatthewStafford,DET,32,QB,16,16,29,112,12.0,107,3.7,5,0.2,0,
121,TevinColeman,SFO,27,rb,8,1,28,53,3.0,6,0.2,47,1.7,3,9.3
122,AndyDalton,DAL,33,qb,11,9,28,114,11.0,101,3.6,13,0.5,0,
123,DarwinThompson,KAN,23,rb,14,1,27,97,7.0,54,2.0,43,1.6,1,27.0
124,KeShawnVaughn,TAM,23,,10,0,26,109,5.0,62,2.4,47,1.8,2,13.0
125,TrayveonWilliams,CIN,23,,10,0,26,157,5.0,54,2.1,103,4.0,3,8.7
126,TravisHomer,SEA,22,,9,0,25,88,2.0,56,2.2,32,1.3,2,12.5
127,BenRoethlisberger,PIT,38,QB,15,15,25,11,3.0,6,0.2,5,0.2,0,
128,RobertWoods,LAR,28,WR,16,16,24,155,9.0,122,5.1,33,1.4,0,
129,JJTaylor,NWE,22,,6,0,23,110,5.0,51,2.2,59,2.6,1,23.0
130,DOntaForeman,TEN,24,,6,0,22,95,6.0,46,2.1,49,2.2,2,11.0
131,JalenRichard,LVR,27,,13,0,22,123,7.0,76,3.5,47,2.1,1,22.0
132,CoreyClement,PHI,26,,15,0,21,75,3.0,43,2.0,32,1.5,0,
133,DwayneHaskins,WAS,23,qb,7,6,20,46,6.0,43,2.2,3,0.2,0,
134,SaquonBarkley,NYG,23,rb,2,2,19,34,1.0,-1,-0.1,35,1.8,1,19.0
135,TyMontgomery,NOR,27,rb,6,1,19,101,4.0,68,3.6,33,1.7,0,
136,DrewBrees,NOR,41,QB,12,12,18,-2,4.0,-6,-0.3,4,0.2,0,
137,AlexCollins,SEA,26,rb,3,1,18,77,5.0,41,2.3,36,2.0,0,
138,DakPrescott,DAL,27,qb,5,5,18,93,8.0,65,3.6,28,1.6,2,9.0
139,PhilipRivers,IND,39,QB,16,16,18,-8,0.0,-10,-0.6,2,0.1,0,
140,LaviskaShenault,JAX,22,WR,14,12,18,91,6.0,50,2.8,41,2.3,1,18.0
141,JacobyBrissett,IND,28,,11,0,17,19,9.0,8,0.5,11,0.6,0,
142,KyleJuszczyk,SFO,29,FB,16,15,17,64,12.0,35,2.1,29,1.7,0,
143,NickFoles,CHI,31,qb,9,7,16,1,2.0,-2,-0.1,3,0.2,0,
144,BuddyHowell,HOU,24,,14,0,16,64,2.0,44,2.8,20,1.3,0,
145,TroymainePope,LAC,27,,6,0,15,76,3.0,49,3.3,27,1.8,0,
146,TarikCohen,CHI,25,,3,0,14,74,3.0,52,3.7,22,1.6,1,14.0
147,DarryntonEvans,TEN,22,,5,0,14,54,2.0,29,2.1,25,1.8,0,
148,BrandonAllen,CIN,28,qb,5,5,13,27,5.0,19,1.5,8,0.6,1,13.0
149,TimBoyle,GNB,26,,8,0,13,-9,,-9,-0.7,0,0.0,0,
150,TylerErvin,GNB,27,,8,0,13,67,4.0,48,3.7,19,1.5,1,13.0
151,TyreekHill,KAN,26,WR,15,15,13,123,5.0,103,7.9,20,1.5,1,13.0
152,PatrickLaird,MIA,25,,16,0,13,72,4.0,50,3.8,22,1.7,1,13.0
153,ReggieBonnafon,CAR,24,,2,0,12,69,4.0,49,4.1,20,1.7,0,
154,RobertGriffin,BAL,30,,4,1,12,69,4.0,34,2.8,35,2.9,0,
155,JusticeHill,BAL,23,,12,0,12,60,2.0,35,2.9,25,2.1,1,12.0
156,AntonioWilliams,BUF,23,,1,0,12,63,4.0,34,2.8,29,2.4,1,12.0
157,MikeBoone,MIN,25,,16,0,11,59,2.0,23,2.1,36,3.3,4,2.8
158,RyanFinley,CIN,26,qb,5,1,11,66,4.0,53,4.8,13,1.2,0,
159,RashaadPenny,SEA,24,,3,0,11,34,1.0,20,1.8,14,1.3,0,
160,TrentonCannon,CAR,26,,14,0,10,33,2.0,9,0.9,24,2.4,1,10.0
161,ChaseClaypool,PIT,22,wr,16,6,10,16,4.0,12,1.2,4,0.4,1,10.0
162,JimmyGaroppolo,SFO,29,qb,6,6,10,25,3.0,19,1.9,6,0.6,1,10.0
163,TylerHuntley,BAL,22,,2,0,10,23,1.0,22,2.2,1,0.1,0,
164,CeeDeeLamb,DAL,21,WR,16,14,10,82,4.0,52,5.2,30,3.0,0,
165,LeSeanMcCoy,TAM,32,,10,0,10,31,2.0,23,2.3,8,0.8,0,
166,IsaiahMcKenzie,BUF,25,wr,16,7,10,9,2.0,1,0.1,8,0.8,1,10.0
167,CJProsise,HOU,26,,10,0,10,19,0.0,13,1.3,6,0.6,0,
168,AlexSmith,WAS,36,qb,8,6,10,3,0.0,3,0.3,0,0.0,0,
169,TJYeldon,BUF,27,,3,0,10,70,5.0,36,3.6,34,3.4,0,
170,LynnBowden,MIA,23,rb,10,4,9,32,3.0,14,1.6,18,2.0,4,2.3
171,BlaineGabbert,TAM,31,,4,0,9,16,0.0,16,1.8,0,0.0,0,
172,KJHamler,DEN,21,wr,13,4,9,40,2.0,38,4.2,2,0.2,0,
173,DontrellHilliard,2TM,25,,7,0,9,48,3.0,19,2.1,29,3.2,1,9.0
174,MarcusMariota,LVR,27,,1,0,9,88,8.0,60,6.7,28,3.1,1,9.0
175,ColtMcCoy,NYG,34,qb,4,2,9,12,0.0,11,1.2,1,0.1,0,
176,NickMullens,SFO,25,qb,10,8,9,8,1.0,7,0.8,1,0.1,0,
177,HenryRuggs,LVR,21,WR,13,12,9,49,3.0,36,4.0,13,1.4,0,
178,JaylenSamuels,PIT,24,rb,14,1,9,28,1.0,14,1.6,14,1.6,0,
179,AmeerAbdullah,MIN,27,,16,0,8,42,4.0,25,3.1,17,2.1,0,
180,DavidMoore,SEA,25,wr,16,6,8,61,4.0,40,5.0,21,2.6,1,8.0
181,DeeboSamuel,SFO,24,wr,7,5,8,26,1.0,9,1.1,17,2.1,0,
182,DwayneWashington,NOR,26,,11,0,8,15,,10,1.3,5,0.6,0,
183,JameisWinston,NOR,26,,4,0,8,-6,0.0,-7,-0.9,1,0.1,0,
184,KyleAllen,WAS,24,qb,4,4,7,26,3.0,13,1.9,13,1.9,2,3.5
185,MichaelBurton,NOR,28,fb,15,4,7,18,6.0,10,1.4,8,1.1,0,
186,RicoDowdle,DAL,22,,15,0,7,24,1.0,13,1.9,11,1.6,0,
187,ChadHenne,KAN,35,qb,3,1,7,-2,1.0,-2,-0.3,0,0.0,0,
188,MasonRudolph,PIT,25,qb,5,1,7,-6,0.0,-6,-0.9,0,0.0,0,
189,JarrettStidham,NWE,24,,5,0,7,7,3.0,7,1.0,0,0.0,0,
190,ChrisThompson,JAX,30,,8,0,7,20,1.0,10,1.4,10,1.4,0,
191,LoganWoodside,TEN,25,,6,0,7,10,1.0,8,1.1,2,0.3,0,
192,JamalAgnew,DET,25,wr,14,2,6,33,3.0,31,5.2,2,0.3,0,
193,BrandonAiyuk,SFO,22,WR,12,11,6,77,3.0,36,6.0,41,6.8,1,6.0
194,AlexArmah,CAR,26,,16,1,6,9,5.0,3,0.5,6,1.0,0,
195,MattBarkley,BUF,30,,5,0,6,-6,0.0,-6,-1.0,0,0.0,0,
196,CJBeathard,SFO,27,qb,6,2,6,28,1.0,19,3.2,9,1.5,1,6.0
197,AmariCooper,DAL,26,WR,16,15,6,14,1.0,9,1.5,5,0.8,0,
198,BenDiNucci,DAL,24,qb,3,1,6,22,2.0,22,3.7,0,0.0,0,
199,JeffDriskel,DEN,27,qb,3,1,6,28,3.0,18,3.0,10,1.7,0,
200,EvanEngram,NYG,26,TE,16,14,6,26,1.0,22,3.7,4,0.7,0,
201,JoeFlacco,NYJ,35,qb,5,4,6,22,3.0,21,3.5,1,0.2,0,
202,MikeGlennon,JAX,31,qb,5,5,6,17,2.0,14,2.3,3,0.5,0,
203,DeMichaelHarris,IND,22,,7,0,6,46,3.0,30,5.0,16,2.7,2,3.0
204,DeonteHarris,NOR,23,wr,9,2,6,51,2.0,36,6.0,15,2.5,1,6.0
205,ElijhaaPenny,NYG,27,,14,0,6,15,4.0,4,0.7,11,1.8,0,
206,ArtavisPierce,CHI,24,,5,0,6,34,2.0,14,2.3,20,3.3,1,6.0
207,TheoRiddick,LVR,29,,4,0,6,14,1.0,4,0.7,10,1.7,0,
208,BoScarbrough,SEA,26,,1,0,6,31,1.0,17,2.8,14,2.3,1,6.0
209,SterlingShepard,NYG,27,WR,12,12,6,49,2.0,39,6.5,10,1.7,0,
210,TyrodTaylor,LAC,31,qb,2,1,6,7,1.0,6,1.0,1,0.2,0,
211,JohnWolford,LAR,25,qb,1,1,6,56,4.0,38,6.3,18,3.0,0,
212,TylerBoyd,CIN,26,wr,15,8,5,49,2.0,48,9.6,1,0.2,0,
213,AlexErickson,CIN,28,wr,16,2,5,7,0.0,-1,-0.2,8,1.6,0,
214,CJHam,MIN,27,FB,15,11,5,18,2.0,13,2.6,5,1.0,0,
215,TeeHiggins,CIN,21,WR,16,14,5,28,1.0,22,4.4,6,1.2,0,
216,JasonHuntley,PHI,22,,5,0,5,19,1.0,8,1.6,11,2.2,2,2.5
217,TraceMcSorley,BAL,25,,2,0,5,17,2.0,10,2.0,7,1.4,0,
218,GunnerOlszewski,NWE,24,wr,13,2,5,23,1.0,18,3.6,5,1.0,0,
219,JoeReed,LAC,22,,11,0,5,29,1.0,12,2.4,17,3.4,2,2.5
220,CalvinRidley,ATL,26,WR,15,15,5,1,1.0,0,0.0,1,0.2,0,
221,BrettRypien,DEN,24,qb,3,1,5,-5,0.0,-5,-1.0,0,0.0,0,
222,PhillipWalker,CAR,25,qb,4,1,5,-2,0.0,-2,-0.4,0,0.0,0,
223,RobbyAnderson,CAR,27,WR,16,16,4,15,1.0,13,3.3,2,0.5,0,
224,CameronBatson,TEN,25,wr,12,1,4,20,2.0,18,4.5,2,0.5,0,
225,LeVanteBellamy,DEN,24,,5,0,4,11,,8,2.0,3,0.8,0,
226,DevinDuvernay,BAL,23,wr,16,3,4,70,3.0,47,11.8,23,5.8,0,
227,MecoleHardman,KAN,22,wr,16,8,4,31,2.0,12,3.0,19,4.8,0,
228,CooperKupp,LAR,27,WR,15,12,4,33,3.0,27,6.8,6,1.5,0,
229,JarvisLandry,CLE,28,WR,15,14,4,10,2.0,6,1.5,4,1.0,0,
230,MarlonMack,IND,24,rb,1,1,4,26,2.0,14,3.5,12,3.0,0,
231,Ray-RayMcCloud,PIT,24,wr,16,2,4,65,1.0,39,9.8,26,6.5,0,
232,DarnellMooney,CHI,23,wr,16,9,4,20,1.0,20,5.0,0,0.0,0,
233,JalenReagor,PHI,21,WR,11,11,4,26,2.0,24,6.0,2,0.5,0,
234,KeithSmith,ATL,28,fb,16,7,4,7,4.0,4,1.0,3,0.8,0,
235,TommyStevens,CAR,24,,1,0,4,24,2.0,20,5.0,4,1.0,0,
236,ChrisStreveler,ARI,25,,5,0,4,15,2.0,8,2.0,7,1.8,0,
237,MarquezValdes-Scantling,GNB,26,WR,16,12,4,13,1.0,9,2.3,4,1.0,0,
238,OdellBeckham,CLE,28,wr,7,7,3,72,2.0,18,6.0,54,18.0,0,
239,BraxtonBerrios,NYJ,25,wr,16,2,3,29,1.0,22,7.3,7,2.3,0,
240,TonyBrooks-James,ATL,26,,1,0,3,4,,0,0.0,4,1.3,0,
241,GarrettGilbert,DAL,29,qb,1,1,3,28,2.0,13,4.3,15,5.0,1,3.0
242,JakeemGrant,MIA,28,wr,14,4,3,20,1.0,12,4.0,8,2.7,0,
243,TaylorHeinicke,WAS,27,,1,0,3,22,2.0,22,7.3,0,0.0,0,
244,AlecIngold,LVR,24,fb,16,4,3,4,2.0,0,0.0,4,1.3,0,
245,DiontaeJohnson,PIT,24,WR,15,13,3,15,0.0,11,3.7,4,1.3,0,
246,TyronJohnson,LAC,24,,12,0,3,17,0.0,10,3.3,7,2.3,0,
247,TonyJones,NOR,23,rb,1,1,3,13,1.0,6,2.0,7,2.3,0,
