,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
89,NyheimHines,IND,42,9,20,25,21,21,bye,16,23,39,29,48,23,22,16,29,12,395,24.7
90,BoScarbrough,SEA,0,0,0,0,0,bye,0,0,0,0,12,0,0,0,0,0,0,12,12.0
91,JustinJackson,LAC,11,0,0,21,42,bye,31,41,3,0,0,0,0,11,0,8,22,190,21.1
92,RashaadPenny,SEA,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,6,4,28,38,12.7
93,SonyMichel,NE,19,15,26,0,bye,0,0,0,0,0,0,1,22,15,23,19,41,181,20.1
94,ChaseEdmonds,ARI,28,27,21,21,34,23,50,bye,66,36,36,32,37,40,36,16,21,524,32.8
95,JordanWilkins,IND,1,17,16,12,2,4,bye,39,23,14,9,26,13,6,0,0,0,182,12.1
96,PhillipLindsay,DEN,19,0,0,0,bye,40,14,29,28,21,27,14,26,29,23,0,0,270,24.5
97,DarrelWilliams,KC,23,10,16,0,29,23,1,8,18,bye,20,8,31,5,22,47,4,265,17.7
98,TrentonCannon,CAR,0,0,0,0,2,8,3,0,0,5,4,10,bye,2,0,3,6,43,3.1
99,BostonScott,PHI,38,13,13,9,7,35,55,42,bye,18,27,26,16,15,15,8,46,383,23.9
100,BuddyHowell,HOU,0,0,0,0,0,0,0,bye,5,1,0,4,0,23,10,3,1,47,3.4
101,GusEdwards,BAL,15,20,13,22,25,33,bye,26,24,15,13,27,18,16,27,34,19,347,21.7
102,RyanNall,CHI,1,3,7,1,4,1,0,2,10,17,bye,3,2,3,2,11,1,68,4.5
103,MikeBoone,MIN,1,0,0,0,5,7,bye,0,0,0,0,0,2,4,0,3,12,34,2.1
104,ReggieBonnafon,CAR,0,0,2,21,0,0,0,0,0,0,0,0,bye,0,0,0,0,23,11.5
105,JeffWilson,SF,0,5,23,6,15,0,37,0,0,0,bye,25,28,39,39,39,55,311,25.9
