,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
240,TyJohnson,2TM,23,,13,1,21,16,76.2%,99,6.2,1,6,18,4.7,1.2,7.6,0
241,RaheemMostert,SFO,28,rb,8,8,19,16,84.2%,156,9.8,1,5,76,8.2,2.0,19.5,1
242,KeeSeanJohnson,ARI,24,wr,8,1,23,15,65.2%,173,11.5,0,7,45,7.5,1.9,21.6,0
243,LeSeanMcCoy,TAM,32,,10,0,19,15,78.9%,101,6.7,0,3,15,5.3,1.5,10.1,0
244,VanceMcDonald,PIT,30,TE,14,12,20,15,75.0%,99,6.6,0,4,15,5.0,1.1,7.1,0
245,AdamTrautman,NOR,23,te,15,6,16,15,93.8%,171,11.4,1,9,41,10.7,1.0,11.4,0
246,NickBoyle,BAL,27,te,9,9,17,14,82.4%,113,8.1,2,8,21,6.6,1.6,12.6,0
247,NoahBrown,DAL,24,wr,16,1,24,14,58.3%,154,11.0,0,6,20,6.4,0.9,9.6,0
248,PharaohBrown,HOU,26,te,13,9,16,14,87.5%,163,11.6,2,9,29,10.2,1.1,12.5,0
249,ChrisHogan,NYJ,33,,5,4,26,14,53.8%,118,8.4,0,6,27,4.5,2.8,23.6,0
250,DeSeanJackson,PHI,34,wr,5,5,26,14,53.8%,236,16.9,1,10,81,9.1,2.8,47.2,0
251,JesseJames,DET,26,te,16,7,22,14,63.6%,129,9.2,2,6,31,5.9,0.9,8.1,0
252,MarcusJohnson,IND,26,wr,11,3,28,14,50.0%,255,18.2,0,11,55,9.1,1.3,23.2,0
253,OlabisiJohnson,MIN,23,wr,16,3,19,14,73.7%,189,13.5,0,9,29,9.9,0.9,11.8,0
254,ZayJones,LVR,25,wr,16,2,20,14,70.0%,154,11.0,1,6,37,7.7,0.9,9.6,0
255,ZackMoss,BUF,23,,13,0,18,14,77.8%,95,6.8,1,5,20,5.3,1.1,7.3,0
256,DonovanPeoples-Jones,CLE,21,wr,12,2,20,14,70.0%,304,21.7,2,10,75,15.2,1.2,25.3,0
257,AudenTate,CIN,23,wr,9,2,22,14,63.6%,150,10.7,0,9,19,6.8,1.6,16.7,0
258,NickVannett,DEN,27,TE,15,11,21,14,66.7%,95,6.8,1,6,19,4.5,0.9,6.3,0
259,JamalAgnew,DET,25,wr,14,2,20,13,65.0%,89,6.8,0,4,20,4.5,0.9,6.4,2
260,ChristianBlake,ATL,24,,16,0,18,13,72.2%,141,10.8,0,6,25,7.8,0.8,8.8,0
261,RyanIzzo,NWE,25,TE,12,12,20,13,65.0%,199,15.3,0,6,50,10.0,1.1,16.6,1
262,AlexanderMattison,MIN,22,rb,13,2,15,13,86.7%,125,9.6,1,5,28,8.3,1.0,9.6,0
263,ByronPringle,KAN,27,wr,13,3,17,13,76.5%,160,12.3,1,9,37,9.4,1.0,12.3,0
264,FreddieSwain,SEA,22,wr,16,1,21,13,61.9%,159,12.2,2,6,23,7.6,0.8,9.9,0
265,MikeThomas,CIN,26,,14,0,21,13,61.9%,132,10.2,1,7,29,6.3,0.9,9.4,1
266,JeffWilson,SFO,25,rb,12,3,28,13,46.4%,133,10.2,3,8,21,4.8,1.1,11.1,2
267,JasonWitten,LVR,38,te,16,7,17,13,76.5%,69,5.3,2,8,15,4.1,0.8,4.3,0
268,CameronBatson,TEN,25,wr,12,1,13,12,92.3%,100,8.3,1,7,18,7.7,1.0,8.3,1
269,AlexErickson,CIN,28,wr,16,2,17,12,70.6%,139,11.6,0,5,42,8.2,0.8,8.7,2
270,RoyceFreeman,DEN,24,,16,0,13,12,92.3%,81,6.8,0,4,28,6.2,0.8,5.1,0
271,AlecIngold,LVR,24,fb,16,4,17,12,70.6%,110,9.2,1,9,23,6.5,0.8,6.9,0
272,TylerJohnson,TAM,22,wr,14,3,17,12,70.6%,169,14.1,2,9,35,9.9,0.9,12.1,0
273,TylerKroft,BUF,28,,10,4,16,12,75.0%,119,9.9,3,9,38,7.4,1.2,11.9,0
274,JeremyMcNichols,TEN,25,,16,0,17,12,70.6%,55,4.6,0,0,9,3.2,0.8,3.4,0
275,AdrianPeterson,DET,35,rb,16,10,18,12,66.7%,101,8.4,0,4,23,5.6,0.8,6.3,0
276,BrandonPowell,ATL,25,,15,1,18,12,66.7%,69,5.8,2,5,13,3.8,0.8,4.6,2
277,AdamShaheen,MIA,26,te,16,5,22,12,54.5%,150,12.5,3,9,43,6.8,0.8,9.4,0
278,JaceSternberger,GNB,24,,12,0,15,12,80.0%,114,9.5,1,6,27,7.6,1.0,9.5,0
279,JordanWilkins,IND,26,,15,0,16,12,75.0%,105,8.8,0,3,24,6.6,0.8,7.0,0
280,SalvonAhmed,MIA,22,rb,6,4,14,11,78.6%,61,5.5,0,2,13,4.4,1.8,10.2,0
281,CamAkers,LAR,21,rb,13,5,14,11,78.6%,123,11.2,1,4,38,8.8,0.8,9.5,1
282,BlakeBell,DAL,29,te,16,2,15,11,73.3%,110,10.0,0,7,24,7.3,0.7,6.9,0
283,CJBoard,NYG,27,wr,14,4,16,11,68.8%,101,9.2,0,6,16,6.3,0.8,7.2,0
284,BryanEdwards,LVR,22,wr,12,3,15,11,73.3%,193,17.5,1,9,34,12.9,0.9,16.1,0
285,TylerErvin,GNB,27,,8,0,15,11,73.3%,84,7.6,0,6,24,5.6,1.4,10.5,0
286,KhaDarelHodge,CLE,25,,9,0,17,11,64.7%,180,16.4,0,11,42,10.6,1.2,20.0,0
287,OJHoward,TAM,26,te,4,1,19,11,57.9%,146,13.3,2,8,33,7.7,2.8,36.5,0
288,AlbertOkwuegbunam,DEN,22,,4,0,15,11,73.3%,121,11.0,1,6,27,8.1,2.8,30.3,0
289,LaMicalPerine,NYJ,22,,10,0,15,11,73.3%,63,5.7,0,3,14,4.2,1.1,6.3,0
290,SamajePerine,CIN,25,rb,16,1,12,11,91.7%,66,6.0,0,4,15,5.5,0.7,4.1,0
291,KeithSmith,ATL,28,fb,16,7,15,11,73.3%,59,5.4,0,4,13,3.9,0.7,3.7,0
292,KennyStills,HOU,28,,10,0,19,11,57.9%,144,13.1,1,8,24,7.6,1.1,14.4,0
293,DeMichaelHarris,IND,22,,7,0,10,10,100.0%,79,7.9,0,3,21,7.9,1.4,11.3,0
294,JohnHightower,PHI,24,wr,13,4,29,10,34.5%,167,16.7,0,5,59,5.8,0.8,12.8,0
295,PatrickLaird,MIA,25,,16,0,12,10,83.3%,68,6.8,0,3,17,5.7,0.6,4.3,1
296,MarcedesLewis,GNB,36,TE,15,15,17,10,58.8%,107,10.7,3,6,36,6.3,0.7,7.1,0
297,DareOgunbowale,JAX,26,rb,14,2,20,10,50.0%,54,5.4,0,4,12,2.7,0.7,3.9,0
298,DonaldParham,LAC,23,te,13,5,20,10,50.0%,159,15.9,3,8,26,8.0,0.8,12.2,0
299,BennySnell,PIT,22,rb,16,3,14,10,71.4%,61,6.1,0,3,14,4.4,0.6,3.8,2
300,TrentTaylor,SFO,26,wr,12,1,21,10,47.6%,86,8.6,0,5,29,4.1,0.8,7.2,0
301,MattBreida,MIA,25,rb,12,1,10,9,90.0%,96,10.7,0,5,31,9.6,0.8,8.0,2
302,GusEdwards,BAL,25,rb,16,6,13,9,69.2%,129,14.3,0,4,34,9.9,0.6,8.1,1
303,RyanGriffin,NYJ,30,te,15,6,12,9,75.0%,86,9.6,0,4,23,7.2,0.6,5.7,0
304,TravisHomer,SEA,22,,9,0,10,9,90.0%,90,10.0,1,4,50,9.0,1.0,10.0,0
305,DevineOzigbo,JAX,24,,8,0,9,9,100.0%,42,4.7,0,3,12,4.7,1.1,5.3,0
306,MalcolmPerry,MIA,23,rb,9,2,13,9,69.2%,92,10.2,1,4,25,7.1,1.0,10.2,1
307,KalifRaymond,TEN,26,,15,3,15,9,60.0%,187,20.8,0,7,61,12.5,0.6,12.5,0
308,PatrickRicard,BAL,26,fb,15,10,12,9,75.0%,45,5.0,1,3,11,3.8,0.6,3.0,1
309,JaylenSamuels,PIT,24,rb,14,1,14,9,64.3%,46,5.1,0,2,12,3.3,0.6,3.3,0
310,RodneySmith,CAR,24,rb,7,1,11,9,81.8%,59,6.6,0,1,12,5.4,1.3,8.4,1
311,GeoffSwaim,TEN,27,wr,10,8,12,9,75.0%,83,9.2,1,6,16,6.9,0.9,8.3,0
312,AmeerAbdullah,MIN,27,,16,0,9,8,88.9%,58,7.3,2,4,22,6.4,0.5,3.6,0
313,StephenAnderson,LAC,27,te,16,3,11,8,72.7%,106,13.3,0,7,23,9.6,0.5,6.6,0
314,DarrellDaniels,ARI,26,te,12,8,11,8,72.7%,92,11.5,1,4,31,8.4,0.7,7.7,0
315,TroyFumagalli,DEN,25,,8,0,15,8,53.3%,80,10.0,1,6,29,5.3,1.0,10.0,0
316,CJHam,MIN,27,FB,15,11,13,8,61.5%,97,12.1,1,6,30,7.5,0.5,6.5,0
317,JoshHill,NOR,30,te,14,7,10,8,80.0%,46,5.8,1,4,16,4.6,0.6,3.3,1
318,TaysomHill,NOR,30,wr,16,8,12,8,66.7%,98,12.3,1,4,21,8.2,0.5,6.1,10
319,JakobJohnson,NWE,26,FB,16,11,9,8,88.9%,35,4.4,1,3,12,3.9,0.5,2.2,1
320,RyanNall,CHI,25,,16,0,9,8,88.9%,67,8.4,1,5,18,7.4,0.5,4.2,0
321,TroymainePope,LAC,27,,6,0,10,8,80.0%,42,5.3,0,1,11,4.2,1.3,7.0,0
322,CJUzomah,CIN,27,te,2,2,11,8,72.7%,87,10.9,1,6,23,7.9,4.0,43.5,0
323,MaxxWilliams,ARI,26,te,9,8,10,8,80.0%,102,12.8,1,4,42,10.2,0.9,11.3,0
324,DevontaFreeman,NYG,28,,5,4,10,7,70.0%,58,8.3,0,1,18,5.8,1.4,11.6,0
325,DemetriusHarris,CHI,29,te,15,5,14,7,50.0%,45,6.4,0,2,9,3.2,0.5,3.0,0
326,JamycalHasty,SFO,24,,8,0,8,7,87.5%,33,4.7,0,0,16,4.1,0.9,4.1,1
327,KJHill,LAC,23,,15,0,11,7,63.6%,73,10.4,0,2,25,6.6,0.5,4.9,1
328,PhillipLindsay,DEN,26,rb,11,8,14,7,50.0%,28,4.0,0,1,11,2.0,0.6,2.5,0
329,AustinMack,NYG,23,wr,11,1,11,7,63.6%,91,13.0,0,5,50,8.3,0.6,8.3,0
330,SonyMichel,NWE,25,rb,9,6,9,7,77.8%,114,16.3,1,5,31,12.7,0.8,12.7,0
331,JaydonMickens,TAM,26,,10,0,10,7,70.0%,58,8.3,0,6,11,5.8,0.7,5.8,0
332,FosterMoreau,LVR,23,te,16,2,9,7,77.8%,140,20.0,2,5,47,15.6,0.4,8.8,0
333,EquanimeousStBrown,GNB,24,wr,12,1,13,7,53.8%,117,16.7,1,6,24,9.0,0.6,9.8,0
334,LukeStocker,ATL,32,TE,16,13,11,7,63.6%,63,9.0,0,4,25,5.7,0.4,3.9,0
335,DarwinThompson,KAN,23,rb,14,1,11,7,63.6%,65,9.3,1,3,37,5.9,0.5,4.6,2
336,QuezWatkins,PHI,22,,6,0,13,7,53.8%,106,15.1,1,4,43,8.2,1.2,17.7,0
337,JustinWatson,TAM,24,wr,11,2,11,7,63.6%,94,13.4,0,5,36,8.5,0.6,8.5,0
338,DeonYelder,KAN,25,,14,1,11,7,63.6%,36,5.1,0,2,12,3.3,0.5,2.6,0
339,JoshAdams,NYJ,24,,8,0,8,6,75.0%,29,4.8,0,2,11,3.6,0.8,3.6,0
340,SaquonBarkley,NYG,23,rb,2,2,9,6,66.7%,60,10.0,0,3,38,6.7,3.0,30.0,0
341,DezBryant,BAL,32,,6,0,11,6,54.5%,47,7.8,2,3,16,4.3,1.0,7.8,0
342,ParrisCampbell,IND,23,wr,2,2,9,6,66.7%,71,11.8,0,4,21,7.9,3.0,35.5,0
343,TyrieCleveland,DEN,23,,10,0,9,6,66.7%,63,10.5,0,4,17,7.0,0.6,6.3,0
344,TarikCohen,CHI,25,,3,0,9,6,66.7%,41,6.8,0,1,20,4.6,2.0,13.7,0
345,RiverCracraft,SFO,26,wr,9,1,9,6,66.7%,41,6.8,0,2,12,4.6,0.7,4.6,0
346,MarkIngram,BAL,31,rb,11,9,8,6,75.0%,50,8.3,0,2,18,6.3,0.5,4.5,0
347,AlshonJeffery,PHI,30,,7,2,13,6,46.2%,115,19.2,1,5,39,8.8,0.9,16.4,0
348,NickKeizer,KAN,25,,16,3,9,6,66.7%,63,10.5,0,2,22,7.0,0.4,3.9,1
349,ChrisManhertz,CAR,28,TE,16,12,8,6,75.0%,52,8.7,0,1,17,6.5,0.4,3.3,0
350,AnthonyMcFarland,PIT,21,,11,0,9,6,66.7%,54,9.0,0,1,17,6.0,0.5,4.9,0
351,LaquonTreadwell,ATL,25,,5,0,7,6,85.7%,49,8.2,2,4,14,7.0,1.2,9.8,0
352,JavonWims,CHI,26,wr,13,1,12,6,50.0%,48,8.0,1,4,13,4.0,0.5,3.7,0
353,AlexArmah,CAR,26,,16,1,9,5,55.6%,18,3.6,0,1,14,2.0,0.3,1.1,0
354,TavonAustin,GNB,30,,4,0,5,5,100.0%,20,4.0,0,1,7,4.0,1.3,5.0,1
355,JaMarcusBradley,CLE,24,wr,3,1,11,5,45.5%,60,12.0,0,2,22,5.5,1.7,20.0,0
356,CethanCarter,CIN,25,te,15,5,7,5,71.4%,53,10.6,0,3,24,7.6,0.3,3.5,0
357,CoreyClement,PHI,26,,15,0,6,5,83.3%,25,5.0,0,2,12,4.2,0.3,1.7,0
358,PharohCooper,CAR,25,wr,16,1,8,5,62.5%,73,14.6,0,3,32,9.1,0.3,4.6,1
359,DamienHarris,NWE,23,rb,10,10,7,5,71.4%,52,10.4,0,4,15,7.4,0.5,5.2,1
360,JusticeHill,BAL,23,,12,0,5,5,100.0%,20,4.0,0,0,8,4.0,0.4,1.7,0
361,StevenMitchell,HOU,26,wr,6,1,8,5,62.5%,60,12.0,0,3,20,7.5,0.8,10.0,0
362,GabeNabers,LAC,23,fb,16,5,7,5,71.4%,25,5.0,2,2,9,3.6,0.3,1.6,0
363,GunnerOlszewski,NWE,24,wr,13,2,5,5,100.0%,62,12.4,1,3,38,12.4,0.4,4.8,1
364,CJProsise,HOU,26,,10,0,5,5,100.0%,18,3.6,1,1,10,3.6,0.5,1.8,1
365,MyColePruitt,TEN,28,te,11,4,8,5,62.5%,49,9.8,2,4,22,6.1,0.5,4.5,0
366,TheoRiddick,LVR,29,,4,0,6,5,83.3%,43,8.6,0,1,15,7.2,1.3,10.8,0
367,DarriusShepherd,GNB,25,,8,0,8,5,62.5%,46,9.2,0,1,19,5.8,0.6,5.8,1
368,TrentSherfield,ARI,24,wr,15,1,7,5,71.4%,50,10.0,0,2,26,7.1,0.3,3.3,0
369,MalikTaylor,GNB,25,wr,15,1,6,5,83.3%,66,13.2,1,4,26,11.0,0.3,4.4,0
370,LevineToilolo,NYG,29,te,16,2,6,5,83.3%,46,9.2,0,3,14,7.7,0.3,2.9,0
371,KeShawnVaughn,TAM,23,,10,0,10,5,50.0%,34,6.8,1,2,13,3.4,0.5,3.4,1
372,DeAndreWashington,2TM,27,,4,1,10,5,50.0%,30,6.0,0,2,10,3.0,1.3,7.5,0
373,TrayveonWilliams,CIN,23,,10,0,5,5,100.0%,30,6.0,0,1,13,6.0,0.5,3.0,1
374,JJArcega-Whiteside,PHI,24,,8,0,8,4,50.0%,85,21.3,0,4,37,10.6,0.5,10.6,0
375,PeytonBarber,WAS,26,rb,16,2,7,4,57.1%,12,3.0,0,1,7,1.7,0.3,0.8,0
376,KhariBlasingame,TEN,24,fb,15,7,5,4,80.0%,39,9.8,0,2,16,7.8,0.3,2.6,0
377,MichaelBurton,NOR,28,fb,15,4,4,4,100.0%,28,7.0,0,1,12,7.0,0.3,1.9,0
378,TevinColeman,SFO,27,rb,8,1,5,4,80.0%,34,8.5,0,2,18,6.8,0.5,4.3,0
379,JuwanJohnson,NOR,24,wr,7,4,10,4,40.0%,39,9.8,0,3,19,3.9,0.6,5.6,0
380,JoshMalone,NYJ,24,,4,0,6,4,66.7%,16,4.0,0,1,13,2.7,1.0,4.0,0
381,JohnnyMundt,LAR,26,te,16,1,4,4,100.0%,53,13.3,0,1,34,13.3,0.3,3.3,0
382,DantePettis,2TM,25,,7,1,6,4,66.7%,76,19.0,1,3,33,12.7,0.6,10.9,1
383,DamionRatley,NYG,25,,5,0,10,4,40.0%,63,15.8,0,2,29,6.3,0.8,12.6,1
384,RileyRidley,CHI,24,wr,5,1,4,4,100.0%,39,9.8,0,3,18,9.8,0.8,7.8,0
385,AndreRoberts,BUF,32,,15,0,5,4,80.0%,34,8.5,0,2,16,6.8,0.3,2.3,3
386,SethRoberts,CAR,29,,7,1,6,4,66.7%,31,7.8,0,2,12,5.2,0.6,4.4,0
387,LeeSmith,BUF,33,te,10,2,6,4,66.7%,35,8.8,2,3,27,5.8,0.4,3.5,0
388,JonathanWilliams,DET,26,,5,0,4,4,100.0%,21,5.3,0,2,10,5.3,0.8,4.2,1
389,DeontayBurnett,PHI,23,,2,0,4,3,75.0%,19,6.3,0,1,10,4.8,1.5,9.5,0
390,TrentonCannon,CAR,26,,14,0,3,3,100.0%,16,5.3,0,1,19,5.3,0.2,1.1,0
391,AustinCarr,NOR,27,,6,0,4,3,75.0%,27,9.0,1,3,11,6.8,0.5,4.5,0
392,AshtonDulin,IND,23,,13,0,6,3,50.0%,53,17.7,0,2,34,8.8,0.2,4.1,1
393,TedGinn,CHI,35,,6,0,6,3,50.0%,40,13.3,0,1,29,6.7,0.5,6.7,1
394,TerryGodwin,JAX,24,,3,0,6,3,50.0%,32,10.7,0,2,21,5.3,1.0,10.7,0
395,JaedenGraham,ATL,25,,16,0,5,3,60.0%,25,8.3,0,1,11,5.0,0.2,1.6,0
396,VirgilGreen,LAC,32,te,6,3,6,3,50.0%,50,16.7,1,2,26,8.3,0.5,8.3,0
397,TannerHudson,TAM,26,,11,0,7,3,42.9%,41,13.7,0,3,20,5.9,0.3,3.7,0
398,LilJordanHumphrey,NOR,22,wr,3,1,5,3,60.0%,46,15.3,1,3,17,9.2,1.0,15.3,0
399,DErnestJohnson,CLE,24,,16,0,4,3,75.0%,14,4.7,0,0,5,3.5,0.2,0.9,1
400,DaltonKeene,NWE,21,,6,0,5,3,60.0%,16,5.3,0,0,8,3.2,0.5,2.7,1
401,MarlonMack,IND,24,rb,1,1,3,3,100.0%,30,10.0,0,1,19,10.0,3.0,30.0,0
402,TyMontgomery,NOR,27,rb,6,1,6,3,50.0%,27,9.0,0,1,17,4.5,0.5,4.5,0
403,AlfredMorris,NYG,32,,9,0,4,3,75.0%,19,6.3,1,2,9,4.8,0.3,2.1,0
404,EricSaubert,JAX,26,,8,4,4,3,75.0%,16,5.3,0,0,9,4.0,0.4,2.0,0
405,DiontaeSpencer,DEN,28,,11,0,6,3,50.0%,26,8.7,0,1,10,4.3,0.3,2.4,2
406,CourtlandSutton,DEN,25,wr,1,1,6,3,50.0%,66,22.0,0,2,45,11.0,3.0,66.0,0
407,KahaleWarring,HOU,23,,7,0,7,3,42.9%,35,11.7,0,2,23,5.0,0.4,5.0,0
408,NickWestbrook-Ikhine,TEN,23,wr,14,1,8,3,37.5%,33,11.0,0,3,19,4.1,0.2,2.4,0
409,CharlieWoerner,SFO,23,,14,0,4,3,75.0%,36,12.0,0,2,18,9.0,0.2,2.6,0
410,BrandonZylstra,CAR,27,wr,16,2,4,3,75.0%,35,11.7,0,3,28,8.8,0.2,2.2,0
411,DevinAsiasi,NWE,23,te,9,3,7,2,28.6%,39,19.5,1,2,26,5.6,0.2,4.3,0
412,ReggieBonnafon,CAR,24,,2,0,2,2,100.0%,18,9.0,1,2,15,9.0,1.0,9.0,0
413,MikeBoone,MIN,25,,16,0,2,2,100.0%,10,5.0,0,0,6,5.0,0.1,0.6,0
414,DanielBrown,NYJ,28,te,16,1,2,2,100.0%,31,15.5,0,2,18,15.5,0.1,1.9,0
415,JakeButt,DEN,25,,5,1,4,2,50.0%,5,2.5,0,0,5,1.3,0.4,1.0,0
416,JasonCabinda,DET,24,mlb,16,2,3,2,66.7%,8,4.0,0,1,4,2.7,0.1,0.5,0
417,LawrenceCager,NYJ,23,wr,2,1,6,2,33.3%,35,17.5,0,2,19,5.8,1.0,17.5,0
418,AntonioCallaway,MIA,23,wr,5,1,4,2,50.0%,20,10.0,0,1,13,5.0,0.4,4.0,0
419,ChandlerCox,MIA,24,,8,3,2,2,100.0%,9,4.5,0,1,6,4.5,0.3,1.1,0
420,DominiqueDafney,GNB,23,te,5,2,2,2,100.0%,26,13.0,1,2,13,13.0,0.4,5.2,0
421,AJDillon,GNB,22,,11,0,2,2,100.0%,21,10.5,0,1,16,10.5,0.2,1.9,0
422,DarryntonEvans,TEN,22,,5,0,4,2,50.0%,27,13.5,1,2,24,6.8,0.4,5.4,0
423,RobertFoster,WAS,26,wr,4,2,6,2,33.3%,37,18.5,0,2,28,6.2,0.5,9.3,0
424,DauriceFountain,IND,25,,5,0,3,2,66.7%,23,11.5,0,2,12,7.7,0.4,4.6,0
425,BennieFowler,NOR,29,,5,0,6,2,33.3%,11,5.5,0,1,7,1.8,0.4,2.2,0
426,ReggieGilliam,BUF,23,,14,0,2,2,100.0%,16,8.0,1,2,15,8.0,0.1,1.1,0
427,AndyJanovich,CLE,27,fb,14,3,5,2,40.0%,13,6.5,0,1,13,2.6,0.1,0.9,0
428,LamarMiller,CHI,29,,1,0,2,2,100.0%,6,3.0,0,1,7,3.0,2.0,6.0,0
429,CamNewton,NWE,31,QB,15,15,2,2,100.0%,35,17.5,1,2,19,17.5,0.1,2.3,6
430,ColbyParkinson,SEA,21,,6,0,2,2,100.0%,16,8.0,0,2,10,8.0,0.3,2.7,0
431,ElijhaaPenny,NYG,27,,14,0,3,2,66.7%,20,10.0,0,1,11,6.7,0.1,1.4,0
432,JohnRoss,CIN,25,wr,3,1,7,2,28.6%,17,8.5,0,1,15,2.4,0.7,5.7,0
433,IsaiahZuber,NWE,23,,4,0,2,2,100.0%,29,14.5,0,1,16,14.5,0.5,7.3,0
434,JoshAllen,BUF,24,QB,16,16,1,1,100.0%,12,12.0,1,1,12,12.0,0.1,0.8,9
435,MarcusBaugh,WAS,26,te,8,1,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.3,0
436,LeVanteBellamy,DEN,24,,5,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.2,1.0,0
437,NickBellore,SEA,31,,16,0,1,1,100.0%,9,9.0,0,1,9,9.0,0.1,0.6,0
438,HunterBryant,DET,22,,5,0,3,1,33.3%,44,44.0,0,1,44,14.7,0.2,8.8,0
439,StephenCarlson,CLE,24,te,16,2,2,1,50.0%,11,11.0,0,1,11,5.5,0.1,0.7,0
440,DerekCarrier,LVR,30,,16,0,1,1,100.0%,14,14.0,0,1,14,14.0,0.1,0.9,0
441,DeAndreCarter,2TM,27,,13,0,2,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.6,2
442,AlexCollins,SEA,26,rb,3,1,2,1,50.0%,4,4.0,0,0,4,2.0,0.3,1.3,0
443,JasonCroom,PHI,26,,4,0,1,1,100.0%,3,3.0,1,1,3,3.0,0.3,0.8,0
444,AndyDalton,DAL,33,qb,11,9,1,1,100.0%,-3,-3.0,0,0,-3,-3.0,0.1,-0.3,2
445,JosiahDeguara,GNB,23,te,2,1,2,1,50.0%,12,12.0,0,1,12,6.0,0.5,6.0,0
446,GehrigDieter,KAN,27,,4,0,2,1,50.0%,10,10.0,0,1,10,5.0,0.3,2.5,0
447,BrandonDillon,MIN,23,,3,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,2.0,0
448,BenEllefson,JAX,24,te,7,4,4,1,25.0%,10,10.0,0,1,10,2.5,0.1,1.4,0
449,EricFisher,KAN,29,LT,15,15,1,1,100.0%,2,2.0,1,1,2,2.0,0.1,0.1,0
450,RyanFitzpatrick,MIA,38,qb,9,7,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,2
451,DOntaForeman,TEN,24,,6,0,1,1,100.0%,5,5.0,1,1,5,5.0,0.2,0.8,0
452,DJFoster,ARI,27,,10,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.1,0.7,0
453,AntonioGandy-Golden,WAS,22,wr,6,2,7,1,14.3%,3,3.0,0,0,3,0.4,0.2,0.5,0
454,CullenGillaspia,HOU,25,,7,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.9,0
455,PennyHart,SEA,24,,13,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,0
456,TemarrickHemingway,WAS,27,,8,0,2,1,50.0%,10,10.0,0,1,10,5.0,0.1,1.3,0
457,DontrellHilliard,2TM,25,,7,0,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.3,0
458,CodyHollister,TEN,27,,2,0,1,1,100.0%,12,12.0,0,1,12,12.0,0.5,6.0,0
459,JordanHoward,2TM,26,,7,4,1,1,100.0%,-3,-3.0,0,0,0,-3.0,0.1,-0.4,1
460,BuddyHowell,HOU,24,,14,0,2,1,50.0%,3,3.0,0,0,3,1.5,0.1,0.2,0
461,JasonHuntley,PHI,22,,5,0,2,1,50.0%,0,0.0,0,0,0,0.0,0.2,0.0,0
462,JalenHurts,PHI,22,qb,15,4,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,9
463,TrentonIrwin,CIN,25,,1,0,2,1,50.0%,5,5.0,0,0,5,2.5,1.0,5.0,0
464,BlakeJarwin,DAL,26,te,1,1,1,1,100.0%,12,12.0,0,1,12,12.0,1.0,12.0,0
465,MarcusKemp,2TM,25,,11,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,1.0,0
466,AdrianKillins,PHI,22,,1,0,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0
467,KeithKirkwood,CAR,26,,1,0,2,1,50.0%,13,13.0,0,0,13,6.5,1.0,13.0,0
468,JakeKumerow,BUF,28,,6,0,1,1,100.0%,22,22.0,1,1,22,22.0,0.2,3.7,0
469,KendallLamm,CLE,28,t,15,1,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
470,TommyleeLewis,NOR,28,,5,0,3,1,33.3%,5,5.0,0,0,5,1.7,0.2,1.0,0
471,BobbyMassie,CHI,31,rt,8,8,1,1,100.0%,4,4.0,0,1,4,4.0,0.1,0.5,0
472,BakerMayfield,CLE,25,QB,16,16,1,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.4,8
473,BruceMiller,JAX,33,fb,8,5,2,1,50.0%,2,2.0,0,1,2,1.0,0.1,0.3,0
474,GardnerMinshew,JAX,24,qb,9,8,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,5
475,DonteMoncrief,NWE,27,,6,0,2,1,50.0%,15,15.0,0,1,15,7.5,0.2,2.5,0
476,IsaacNauta,DET,23,,7,0,2,1,50.0%,3,3.0,0,0,3,1.5,0.1,0.4,0
477,SiranNeal,BUF,26,,16,0,1,1,100.0%,13,13.0,0,1,13,13.0,0.1,0.8,0
478,ScottiePhillips,HOU,23,,8,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.9,0
479,DakPrescott,DAL,27,qb,5,5,1,1,100.0%,11,11.0,1,1,11,11.0,0.2,2.2,3
480,JamesProche,BAL,24,,14,0,3,1,33.3%,14,14.0,0,1,14,4.7,0.1,1.0,0
481,CraigReynolds,JAX,24,,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0
482,AaronRodgers,GNB,37,QB,16,16,1,1,100.0%,-6,-6.0,0,0,-6,-6.0,0.1,-0.4,4
483,JaleelScott,NYJ,25,wr,1,1,1,1,100.0%,16,16.0,0,1,16,16.0,1.0,16.0,0
