,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
164,KyleRudolph,MIN,31,TE,12,12,37,28,334,1,16.0,170,6.1,164,5.9,7.1,2,14.0,0,0.0,0.0,111.8,262.7,75.7%,11.9,25.0,9.0,2.3,27.8,1.0,MIN,32.0,38.0,48.0,48,64,38,bye,39,42,58,46,57.0,64,0.0,0.0,0.0,0.0,574.0,47.8
168,JordanReed,SFO,30,te,10,1,46,26,231,4,16.0,147,5.7,84,3.2,8.0,2,13.0,3,6.5,1.0,90.0,368.0,56.5%,8.9,26.0,5.0,2.6,23.1,0.0,SF,10.0,28.0,18.0,0,0,0,0,0,13,31,bye,31.0,31,33.0,42.0,10.0,0.0,247.0,24.7
170,DurhamSmythe,MIA,25,TE,15,13,29,26,208,2,13.0,86,3.3,122,4.7,3.9,2,13.0,1,3.4,0.0,119.5,113.1,89.7%,8.0,19.0,7.2,1.7,13.9,0.0,MIA,14.0,36.0,42.0,29,0,19,bye,32,25,39,13,30.0,41,36.0,41.0,30.0,23.0,450.0,30.0
175,JacobHollister,SEA,27,te,16,5,40,25,209,3,14.0,129,5.2,80,3.2,5.9,0,,2,5.0,1.0,90.5,236.0,62.5%,8.4,20.0,5.2,1.6,13.1,0.0,SEA,11.0,9.0,12.0,15,3,bye,23,26,31,6,13,37.0,39,37.0,40.0,33.0,41.0,376.0,23.5
177,HarrisonBryant,CLE,22,te,15,9,38,24,238,3,14.0,121,5.0,117,4.9,7.7,2,12.0,3,7.9,2.0,85.2,292.6,63.2%,9.9,35.0,6.3,1.6,15.9,2.0,CLE,31.0,30.0,40.0,53,29,21,40,39,bye,36,39,42.0,39,55.0,30.0,67.0,0.0,591.0,39.4
178,WillDissly,SEA,24,TE,16,12,29,24,251,2,12.0,82,3.4,169,7.0,4.8,0,,1,3.4,1.0,111.4,139.2,82.8%,10.5,28.0,8.7,1.5,15.7,0.0,SEA,26.0,31.0,31.0,28,20,bye,49,43,21,24,43,48.0,39,36.0,37.0,35.0,49.0,560.0,35.0
179,DawsonKnox,BUF,24,te,12,7,44,24,288,3,14.0,128,5.3,160,6.7,8.2,0,,4,9.1,1.0,88.1,360.8,54.5%,12.0,36.0,6.5,2.0,24.0,2.0,BUF,57.0,22.0,0.0,30,25,0,0,0,25,51,bye,38.0,49,60.0,40.0,46.0,46.0,489.0,40.8
180,GregOlsen,SEA,35,te,11,8,37,24,239,1,16.0,190,7.9,49,2.0,7.8,0,,2,5.4,2.0,69.5,288.6,64.9%,10.0,22.0,6.5,2.2,21.7,0.0,SEA,41.0,45.0,48.0,35,45,bye,52,37,26,48,40,0.0,0,0.0,0.0,12.0,0.0,429.0,39.0
181,RichardRodgers,PHI,28,te,14,4,31,24,345,2,16.0,250,10.4,95,4.0,9.8,1,24.0,0,0.0,0.0,134.5,303.8,77.4%,14.4,33.0,11.1,1.7,24.6,0.0,PHI,2.0,0.0,33.0,22,19,43,67,16,bye,21,22,22.0,3,1.0,0.0,0.0,0.0,271.0,19.4
184,JackDoyle,IND,30,TE,14,12,33,23,251,3,13.0,160,7.0,91,4.0,6.9,1,23.0,0,0.0,0.0,122.2,227.7,69.7%,10.9,28.0,7.6,1.6,17.9,1.0,IND,57.0,0.0,32.0,45,34,39,bye,45,22,0,45,22.0,38,42.0,42.0,38.0,43.0,544.0,38.9
193,DarrenFells,HOU,34,TE,16,14,28,21,312,4,16.0,135,6.4,177,8.4,7.1,6,3.5,0,0.0,0.0,150.6,198.8,75.0%,14.9,44.0,11.1,1.3,19.5,0.0,HOU,25.0,24.0,24.0,52,50,62,53,bye,34,34,21,29.0,27,40.0,18.0,20.0,26.0,539.0,33.7
205,IanThomas,CAR,24,te,16,8,31,20,145,1,11.0,67,3.4,78,3.9,6.3,0,,1,3.2,2.0,59.2,195.3,64.5%,7.3,21.0,4.7,1.3,9.1,1.0,CAR,46.0,40.0,35.0,44,42,47,32,40,59,29,40,43.0,bye,47.0,50.0,39.0,41.0,674.0,42.1
209,TylerConklin,MIN,25,te,16,2,26,19,194,1,11.0,68,3.6,126,6.6,4.4,1,19.0,2,7.7,0.0,106.9,114.4,73.1%,10.2,30.0,7.5,1.2,12.1,1.0,MIN,9.0,3.0,10.0,9,10,9,bye,11,25,46,12,48.0,59,45.0,45.0,55.0,57.0,453.0,28.3
210,RossDwelley,SFO,25,te,16,9,24,19,245,1,10.0,138,7.3,107,5.6,7.6,1,19.0,0,0.0,0.0,123.1,182.4,79.2%,12.9,36.0,10.2,1.2,15.3,0.0,SF,7.0,39.0,64.0,13,1,21,22,39,42,37,bye,44.0,35,36.0,46.0,26.0,30.0,502.0,31.4
217,DavidNjoku,CLE,24,te,13,5,29,19,213,2,13.0,126,6.6,87,4.6,7.4,2,9.5,1,3.4,0.0,110.3,214.6,65.5%,11.2,28.0,7.3,1.5,16.4,0.0,CLE,17.0,0.0,0.0,0,21,23,31,29,bye,23,34,40.0,30,51.0,31.0,31.0,49.0,410.0,31.5
223,KadenSmith,NYG,23,TE,15,12,21,18,112,0,7.0,23,1.3,89,4.9,1.6,1,18.0,0,0.0,0.0,88.9,33.6,85.7%,6.2,16.0,5.3,1.2,7.5,1.0,NYG,29.0,31.0,16.0,24,27,23,36,42,41,41,bye,0.0,37,23.0,24.0,26.0,33.0,453.0,30.2
244,VanceMcDonald,PIT,30,TE,14,12,20,15,99,0,4.0,20,1.3,79,5.3,1.9,3,5.0,1,5.0,0.0,85.2,38.0,75.0%,6.6,15.0,5.0,1.1,7.1,0.0,PIT,38.0,36.0,41.0,bye,43,40,35,22,20,0,0,28.0,28,19.0,60.0,16.0,59.0,485.0,34.6
245,AdamTrautman,NOR,23,te,15,6,16,15,171,1,9.0,54,3.6,117,7.8,4.0,2,7.5,0,0.0,0.0,132.0,64.0,93.8%,11.4,41.0,10.7,1.0,11.4,0.0,NO,7.0,8.0,32.0,19,0,bye,28,16,29,27,32,39.0,27,15.0,21.0,52.0,41.0,393.0,26.2
246,NickBoyle,BAL,27,te,9,9,17,14,113,2,8.0,69,4.9,44,3.1,5.1,0,,0,0.0,0.0,133.6,86.7,82.4%,8.1,21.0,6.6,1.6,12.6,0.0,BAL,41.0,51.0,26.0,38,39,57,bye,50,50,31,0,0.0,0,0.0,0.0,0.0,0.0,383.0,42.6
248,PharaohBrown,HOU,26,te,13,9,16,14,163,2,9.0,87,6.2,76,5.4,7.9,4,3.5,0,0.0,0.0,148.7,126.4,87.5%,11.6,29.0,10.2,1.1,12.5,0.0,HOU,0.0,0.0,4.0,7,25,29,19,bye,25,18,27,31.0,5,0.0,17.0,27.0,38.0,272.0,20.9
251,JesseJames,DET,26,te,16,7,22,14,129,2,6.0,53,3.8,76,5.4,5.4,1,14.0,0,0.0,2.0,72.0,118.8,63.6%,9.2,31.0,5.9,0.9,8.1,0.0,DET,39.0,30.0,33.0,30,bye,23,24,20,25,32,29,38.0,24,26.0,32.0,12.0,28.0,445.0,27.8
258,NickVannett,DEN,27,TE,15,11,21,14,95,1,6.0,31,2.2,64,4.6,4.4,0,,0,0.0,1.0,72.5,92.4,66.7%,6.8,19.0,4.5,0.9,6.3,0.0,DEN,16.0,23.0,0.0,28,bye,29,35,11,11,10,41,20.0,30,45.0,16.0,15.0,31.0,361.0,24.1
261,RyanIzzo,NWE,25,TE,12,12,20,13,199,0,6.0,131,10.1,68,5.2,10.3,1,13.0,2,10.0,1.0,76.9,206.0,65.0%,15.3,50.0,10.0,1.1,16.6,1.0,NE,63.0,70.0,43.0,0,bye,35,23,48,76,54,56,51.0,43,0.0,0.0,0.0,0.0,562.0,51.1
267,JasonWitten,LVR,38,te,16,7,17,13,69,2,8.0,49,3.8,20,1.5,5.4,0,,0,0.0,0.0,121.9,91.8,76.5%,5.3,15.0,4.1,0.8,4.3,0.0,LV,29.0,26.0,15.0,20,38,bye,21,38,21,37,33,17.0,16,20.0,37.0,22.0,16.0,406.0,25.4
277,AdamShaheen,MIA,26,te,16,5,22,12,150,3,9.0,45,3.8,105,8.8,4.3,4,3.0,0,0.0,0.0,115.5,94.6,54.5%,12.5,43.0,6.8,0.8,9.4,0.0,MIA,12.0,18.0,24.0,20,38,16,bye,16,24,22,13,25.0,26,37.0,43.0,15.0,19.0,368.0,23.0
