,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
64,DJChark,JAX,24,WR,13,12,93,53,706,5,37.0,541,10.2,165,3.1,14.0,0,,2,2.2,5.0,76.7,1302.0,57.0%,13.3,73.0,7.6,4.1,54.3,0.0,JAC,42.0,59.0,0.0,58,50,31,55,bye,59,56,50,0.0,62,64.0,49.0,41.0,0.0,676.0,52.0
66,WillFuller,HOU,26,WR,11,11,75,53,879,8,38.0,588,11.1,291,5.5,12.5,4,13.3,3,4.0,2.0,134.2,937.5,70.7%,16.6,77.0,11.7,4.8,79.9,0.0,,,,,,,,,,,,,,,,,,,,
68,GregWard,PHI,25,wr,16,10,79,53,419,6,24.0,255,4.8,164,3.1,5.6,1,53.0,2,2.5,2.0,94.9,442.4,67.1%,7.9,32.0,5.3,3.3,26.2,2.0,PHI,30.0,13.0,76.0,48,41,58,76,58,bye,42,46,48.0,44,51.0,44.0,66.0,48.0,789.0,49.3
70,JerryJeudy,DEN,21,WR,16,14,113,52,856,3,39.0,572,11.0,284,5.5,13.5,5,10.4,10,8.8,6.0,58.7,1525.5,46.0%,16.5,92.0,7.6,3.3,53.5,2.0,DEN,44.0,44.0,46.0,48,bye,47,58,58,61,61,41,22.0,49,45.0,56.0,61.0,65.0,806.0,50.4
71,JoshReynolds,LAR,25,WR,16,13,81,52,618,2,29.0,393,7.6,225,4.3,10.4,2,26.0,3,3.7,2.0,85.3,842.4,64.2%,11.9,40.0,7.6,3.3,38.6,2.0,LAR,37.0,42.0,62.0,30,49,50,0,77,bye,56,65,61.0,37,35.0,45.0,48.0,55.0,749.0,49.9
73,JulioJones,ATL,31,wr,9,9,68,51,771,3,36.0,540,10.6,231,4.5,11.2,7,7.3,3,4.4,0.0,126.5,761.6,75.0%,15.1,44.0,11.3,5.7,85.7,0.0,ATL,65.0,59.0,0.0,15,0,66,58,58,63,bye,22,0.0,63,0.0,0.0,0.0,0.0,469.0,52.1
74,TimPatrick,DEN,27,WR,15,15,79,51,742,6,33.0,504,9.9,238,4.7,12.5,3,17.0,0,0.0,3.0,104.5,987.5,64.6%,14.5,61.0,9.4,3.4,49.5,0.0,DEN,50.0,51.0,53.0,53,bye,59,51,0,60,42,54,31.0,59,50.0,57.0,69.0,12.0,751.0,50.1
76,DariusSlayton,NYG,23,WR,16,15,96,50,751,3,38.0,592,11.8,159,3.2,12.6,1,50.0,6,6.3,2.0,79.8,1209.6,52.1%,15.0,41.0,7.8,3.1,46.9,1.0,NYG,58.0,58.0,51.0,66,64,40,55,68,65,45,bye,56.0,51,47.0,47.0,55.0,51.0,877.0,54.8
77,KendrickBourne,SFO,25,wr,15,5,74,49,667,2,35.0,448,9.1,219,4.5,9.3,3,16.3,6,8.1,2.0,92.6,688.2,66.2%,13.6,49.0,9.0,3.3,44.5,0.0,SF,57.0,45.0,64.0,50,42,41,30,60,0,41,bye,41.0,30,72.0,42.0,19.0,54.0,688.0,45.9
78,AnthonyMiller,CHI,26,wr,16,6,76,49,485,2,23.0,337,6.9,148,3.0,9.7,1,49.0,4,5.3,3.0,74.7,737.2,64.5%,9.9,34.0,6.4,3.1,30.3,2.0,CHI,27.0,26.0,47.0,43,26,44,0,53,53,24,bye,47.0,39,33.0,16.0,30.0,39.0,547.0,36.5
