,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
60,MattBarkley,BUF,30,,5,0,11,21,197,251,12.0,142,12.9,6.8,55,5.0
61,TaylorHeinicke,WAS,27,,1,0,12,19,137,255,13.4,88,7.3,4.6,49,4.1
62,BlaineGabbert,TAM,31,,4,0,9,16,143,108,6.8,63,7.0,3.9,80,8.9
63,ChrisStreveler,ARI,25,,5,0,11,16,105,106,6.6,7,0.6,0.4,98,8.9
64,RobertGriffin,BAL,30,,4,1,8,14,42,123,8.8,8,1.0,0.6,34,4.3
65,NateSudfeld,PHI,27,,1,0,5,12,32,118,9.8,14,2.8,1.2,18,3.6
66,JameisWinston,NOR,26,,4,0,7,11,75,51,4.6,14,2.0,1.3,61,8.7
67,DavidBlough,DET,25,,1,0,6,10,49,82,8.2,22,3.7,2.2,27,4.5
68,CaseKeenum,CLE,32,,2,0,5,10,46,27,2.7,18,3.6,1.8,28,5.6
69,TraceMcSorley,BAL,25,,2,0,3,10,90,89,8.9,37,12.3,3.7,53,17.7
70,KendallHinton,DEN,23,,1,0,1,9,13,134,14.9,-3,-3.0,-0.3,16,16.0
71,JacobyBrissett,IND,28,,11,0,2,8,17,65,8.1,-1,-0.5,-0.1,18,9.0
72,TylerBray,CHI,29,,1,0,1,5,18,43,8.6,5,5.0,1.0,13,13.0
73,JoshuaDobbs,PIT,25,,1,0,4,5,2,0,0.0,-11,-2.8,-2.2,13,3.3
74,TylerHuntley,BAL,22,,2,0,3,5,15,62,12.4,5,1.7,1.0,10,3.3
75,NathanPeterman,LVR,26,,1,0,3,5,25,9,1.8,4,1.3,0.8,21,7.0
76,GenoSmith,SEA,30,,1,0,4,5,33,25,5.0,19,4.8,3.8,14,3.5
77,JarvisLandry,CLE,28,WR,15,14,4,4,74,58,14.5,58,14.5,14.5,16,4.0
78,LoganWoodside,TEN,25,,6,0,1,3,7,17,5.7,7,7.0,2.3,0,0.0
79,LynnBowden,MIA,23,rb,10,4,1,2,32,17,8.5,-2,-2.0,-1.0,34,34.0
80,TylerBoyd,CIN,26,wr,15,8,1,2,16,2,1.0,-6,-6.0,-3.0,22,22.0
81,JulianEdelman,NWE,34,wr,6,1,2,2,38,-2,-1.0,-2,-1.0,-1.0,40,20.0
82,RussellGage,ATL,24,wr,16,8,1,2,39,75,37.5,37,37.0,18.5,2,2.0
83,TravisKelce,KAN,31,TE,15,15,1,2,4,-2,-1.0,-3,-3.0,-1.5,7,7.0
84,JakobiMeyers,NWE,24,wr,14,9,2,2,43,37,18.5,37,18.5,18.5,6,3.0
